Rank,Player,ATT,YDS,Y/ATT,LG,20+,TD,REC,TGT,YDS,Y/REC,TD,FL,G,FPTS,FPTS/G,RUSHYRDS/G,PASSYDS/G,ATT/G,TGT/G,RUSHTD/G,PASSTD/G,TOTTD/G
87,Marcus Murphy (FA),52,250,4.8,30,1,0,11,19,26,2.4,0,0,11,38.6,3.509090909,22.72727273,2.363636364,4.727272727,1.727272727,0,0,0
88,Kalen Ballage (PIT),36,191,5.3,75,1,1,9,11,56,6.2,0,1,12,37.7,3.141666667,15.91666667,4.666666667,3,0.9166666667,0.08333333333,0,0.08333333333
89,Rod Smith (FA),44,127,2.9,14,0,1,9,12,60,6.7,0,0,16,33.7,2.10625,7.9375,3.75,2.75,0.75,0.0625,0,0.0625
90,Brandon Bolden (NE),8,91,11.4,54,1,2,3,3,13,4.3,1,1,16,29.4,1.8375,5.6875,0.8125,0.5,0.1875,0.125,0.0625,0.1875
91,Andy Janovich (CLE),2,5,2.5,3,0,0,8,10,112,14,1,0,16,25.7,1.60625,0.3125,7,0.125,0.625,0,0.0625,0.0625
92,Anthony Sherman (FA),1,2,2,2,0,0,8,9,96,12,1,0,16,23.8,1.4875,0.125,6,0.0625,0.5625,0,0.0625,0.0625
93,Taquan Mizzell (NYG),9,16,1.8,7,0,0,8,10,78,9.8,1,0,9,23.4,2.6,1.777777778,8.666666667,1,1.111111111,0,0.1111111111,0.1111111111
94,Zach Line (FA),9,41,4.6,9,0,0,5,10,14,2.8,2,0,16,22.5,1.40625,2.5625,0.875,0.5625,0.625,0,0.125,0.125
95,Ronald Jones II (TB),23,44,1.9,9,0,1,7,9,33,4.7,0,0,9,20.7,2.3,4.888888889,3.666666667,2.555555556,1,0.1111111111,0,0.1111111111
96,C.J. Ham (MIN),6,8,1.3,5,0,0,11,15,85,7.7,0,0,15,20.3,1.353333333,0.5333333333,5.666666667,0.4,1,0,0,0
97,Corey Grant (FA),13,40,3.1,8,0,0,9,12,67,7.4,0,0,5,19.7,3.94,8,13.4,2.6,2.4,0,0,0
98,Dontrell Hilliard (HOU),0,0,0,0,0,0,9,10,105,11.7,0,0,11,17.5,1.590909091,0,9.545454545,0,0.9090909091,0,0,0
99,Cameron Artis-Payne (FA),19,69,3.6,15,0,1,3,4,15,5,0,0,9,17.4,1.933333333,7.666666667,1.666666667,2.111111111,0.4444444444,0.1111111111,0,0.1111111111
100,Darrel Williams (KC),13,44,3.4,8,0,0,3,3,27,9,1,0,6,16.1,2.683333333,7.333333333,4.5,2.166666667,0.5,0,0.1666666667,0.1666666667
1,Christian McCaffrey (CAR),287,"1,387",5,84,6,15,116,142,"1,005",8.7,4,0,16,471.2,29.45,86.6875,62.8125,17.9375,8.875,0.9375,0.25,1.1875
2,Aaron Jones (GB),236,"1,084",5,56,5,16,49,68,474,9.7,3,2,16,314.8,19.675,67.75,29.625,14.75,4.25,1,0.1875,1.1875
3,Ezekiel Elliott (DAL),301,"1,357",5,33,4,12,54,71,420,7.8,2,2,16,311.7,19.48125,84.8125,26.25,18.8125,4.4375,0.75,0.125,0.875
