Rank,Player,ATT,YDS,Y/ATT,LG,20+,TD,REC,TGT,YDS,Y/REC,TD,FL,G,FPTS,FPTS/G,RUSHYRDS/G,PASSYDS/G,ATT/G,TGT/G,RUSHTD/G,PASSTD/G,TOTTD/G
78,Jeff Wilson Jr. (SF),27,105,3.9,25,1,4,3,5,34,11.3,1,0,11,46.9,4.263636364,9.545454545,3.090909091,2.454545455,0.4545454545,0.3636363636,0.09090909091,0.4545454545
79,Bo Scarbrough (LV),89,377,4.2,30,2,1,1,4,5,5,0,1,6,43.2,7.2,62.83333333,0.8333333333,14.83333333,0.6666666667,0.1666666667,0,0.1666666667
80,Mark Walton (FA),53,201,3.8,19,0,0,15,21,89,5.9,0,1,7,42,6,28.71428571,12.71428571,7.571428571,3,0,0,0
81,Jonathan Williams (WAS),49,235,4.8,48,1,1,5,5,59,11.8,0,0,9,40.4,4.488888889,26.11111111,6.555555556,5.444444444,0.5555555556,0.1111111111,0,0.1111111111
82,Ameer Abdullah (CAR),23,115,5,15,0,0,15,21,88,5.9,1,1,16,39.3,2.45625,7.1875,5.5,1.4375,1.3125,0,0.0625,0.0625
83,Dontrell Hilliard (HOU),13,49,3.8,11,0,2,12,15,92,7.7,0,0,14,38.1,2.721428571,3.5,6.571428571,0.9285714286,1.071428571,0.1428571429,0,0.1428571429
84,C.J. Ham (MIN),7,17,2.4,9,0,0,17,26,149,8.8,1,1,16,37.6,2.35,1.0625,9.3125,0.4375,1.625,0,0.0625,0.0625
85,Ito Smith (FA),22,106,4.8,28,1,1,11,14,87,7.9,0,0,7,36.3,5.185714286,15.14285714,12.42857143,3.142857143,2,0.1428571429,0,0.1428571429
86,Bilal Powell (FA),59,229,3.9,17,0,0,7,12,33,4.7,0,0,14,33.2,2.371428571,16.35714286,2.357142857,4.214285714,0.8571428571,0,0,0
87,Ty Montgomery (NO),32,103,3.2,15,0,0,13,17,90,6.9,0,0,16,32.3,2.01875,6.4375,5.625,2,1.0625,0,0,0
88,Darwin Thompson (TB),37,128,3.5,12,0,1,9,10,43,4.8,0,0,12,32.1,2.675,10.66666667,3.583333333,3.083333333,0.8333333333,0.08333333333,0,0.08333333333
89,Myles Gaskin (MIA),36,133,3.7,27,1,1,7,12,51,7.3,0,0,7,31.4,4.485714286,19,7.285714286,5.142857143,1.714285714,0.1428571429,0,0.1428571429
90,Justin Jackson (LAC),29,200,6.9,40,3,0,9,11,22,2.4,0,0,7,31.2,4.457142857,28.57142857,3.142857143,4.142857143,1.571428571,0,0,0
91,Qadree Ollison (ATL),22,50,2.3,6,0,4,1,2,7,7,0,0,8,30.7,3.8375,6.25,0.875,2.75,0.25,0.5,0,0.5
92,T.J. Yeldon (FA),17,63,3.7,12,0,0,13,15,124,9.5,0,1,6,29.7,4.95,10.5,20.66666667,2.833333333,2.5,0,0,0
93,Reggie Bonnafon (CAR),16,116,7.3,59,1,1,6,10,57,9.5,0,0,16,29.3,1.83125,7.25,3.5625,1,0.625,0.0625,0,0.0625
94,C.J. Prosise (FA),23,72,3.1,17,0,1,10,12,76,7.6,0,1,9,28.8,3.2,8,8.444444444,2.555555556,1.333333333,0.1111111111,0,0.1111111111
95,Travis Homer (SEA),18,114,6.3,29,1,0,11,13,56,5.1,0,0,16,28,1.75,7.125,3.5,1.125,0.8125,0,0,0
96,Wendell Smallwood (FA),22,81,3.7,17,0,0,9,13,64,7.1,0,0,15,23.5,1.566666667,5.4,4.266666667,1.466666667,0.8666666667,0,0,0
97,Darrell Henderson Jr. (LAR),39,147,3.8,22,1,0,4,6,37,9.3,0,0,13,22.4,1.723076923,11.30769231,2.846153846,3,0.4615384615,0,0,0
98,Trey Edmunds (PIT),22,92,4.2,45,1,0,6,7,48,8,0,0,12,20,1.666666667,7.666666667,4,1.833333333,0.5833333333,0,0,0
99,Alec Ingold (LV),10,17,1.7,4,0,0,6,6,44,7.3,1,0,16,18.1,1.13125,1.0625,2.75,0.625,0.375,0,0.0625,0.0625
